codigo,descricao,estoque,unidade,custo,venda,total_custo,total_venda,lucro_percentual
007104,-BATERIA MOURA 60 AMPERES M60AX,0.0,UN1,365.0,584.0,0.0,0.0,60.0
009956,-CABO DEFREIO CELTA-IKS4285,1.0,PC,47.39,75.824,47.39,75.824,60.0
004353,-CARCACA VALVULA TERMOSTATICA GOL,0.0,UN1,25.01,42.517,0.0,0.0,70.0
009932,-CB49CPA-SAPATADEFREIO-FREIO NOVO,0.0,PC,76.72,122.752,0.0,0.0,60.0
006146,-COXIM AMORTECEDOR (DIANT) GOL,12.0,PC,46.1,78.37,553.2,940.44,70.0
004145,-CUBO DE RODA TRAS UNO VIVACE,0.0001,2,125.725,213.732,0.0,0.0,70.0
004657,-CUBO DE RODA TRASEIRO PALIO 1.6 96/97,2.0,PC,134.78,215.648,269.56,431.296,60.0
004635,"-JOGO DE CABOS DE VELAS GOL 1,6 ST V01",1.0,JG,57.24,97.308,57.24,97.308,70.0
004174,-KIT DO AMORTECEDOR DIANT FOX SK421S,2.0,KI,21.23,36.091,42.46,72.182,70.0
009070,-LAMPADA 12V - BOSCH H1,7.0,UN1,10.662,17.06,74.634,119.42,60.0
008879,-LAMPADA H4 12V - BOSCH,16.0,PC,12.627,20.204,202.032,323.264,60.0
004695,-MOLA TRASEIRA PALIO 2001 CIN,539.0,MNP,0.00012,89.065,151.411,0.0,0.0
003680,-MOLAS DIANT GOL 99 CIN414PN,0.0001,2,56.18,96.0,0.0,0.0,70.879
004300,-ROLAMENTO DIANT FOX 1.0/.6 8V 03>13,3.0,UN1,65.26,110.942,195.78,332.826,70.0
006566,-ROLAMENTO DO TENSOR AGILE 1.4 09/14,3.0,UN1,87.47,139.952,262.41,419.856,60.0
004508,-VALVULA TERMOSTATICA INJECAO,0.0001,2,195.44,332.248,0.0,0.0,70.0
009626,-VELA DE IGNICAO - KA 1.0/1.6 F000KEP10,4.0,UN1,19.227,30.764,76.908,123.056,60.0
004998,.DISJUNTOR TRI 25A BCO DIN STECK,3.0,UN1,33.503,36.854,100.509,110.561,10.0
004994,.IMPERM.HIDROFUGANTE REBOTEC 500G,1.0,UN1,12.93,14.223,12.93,14.223,10.0
009406,/,20.0,UN1,4.346,6.954,86.92,139.072,60.0
005503,"0000515 JAHU-ABRACADEIRA 9MM 5/16"" X",10.0,PC,0.7,1.19,7.0,11.9,70.0
005898,001158-0 JAHU-ABRACADEIRA FIX. CABOS,50.0,PC,0.74,1.258,37.0,62.9,70.0
005504,0026393 JAHU-COXIM MOTOR TRAS. S10,0.0,PC,82.85,140.845,0.0,0.0,70.0
005505,0026539 BIELETA BARRA ESTAB. DIANT. DIR.,1.0,PC,20.01,34.017,20.01,34.017,70.0
